t,step,event,theta_ns,theta_s,dtheta_ns,dtheta_s,hip_x,hip_y,swing_x,swing_y,support_x,support_y
8.75999284219631,11,flow,0.5194234838990768,-0.09166692562032683,0.4030107373532979,-0.7905892311466882,7.026115804404792,0.38910463703207354,7.522495547972244,-0.47900085781052393,6.934577201718413,-0.6066968914956874
8.76999284219631,11,flow,0.5227825240211729,-0.09970746821298734,0.2686673493173202,-0.8176406946804928,7.034119543751224,0.38833643565603315,7.533412482661401,-0.47809680536974775,6.934577201718413,-0.6066968914956874
8.77999284219631,11,flow,0.5247945375742754,-0.10802224116790365,0.13363564689963822,-0.8454428385669819,7.0423894836852,0.38747437737960755,7.54342468622486,-0.4779525264176121,6.934577201718413,-0.6066968914956874
8.789992842196309,11,flow,0.5254535329804894,-0.11661898611259391,-0.0019075096892642654,-0.8740434763676106,7.050932031387458,0.3865108177034948,7.552537437446342,-0.47858571830419394,6.934577201718413,-0.6066968914956874
8.799992842196309,11,flow,0.5247552466441056,-0.12550594684903288,-0.1377930909405998,-0.9034950878515956,7.059753918408319,0.3854375699553475,7.5607551171332,-0.48000901931300954,6.934577201718413,-0.6066968914956874
8.809992842196309,11,flow,0.5226970732581773,-0.13469191181226117,-0.27385819393566124,-0.9338539827010939,7.068862221347688,0.3842458583658599,7.568081121053547,-0.48223004445918183,6.934577201718413,-0.6066968914956874
8.819992842196308,11,flow,0.5192780125911348,-0.1441862483004601,-0.40994445058762957,-0.9651794912980752,7.078264371564347,0.3829262677026336,7.574517825438308,-0.48525142696486034,6.934577201718413,-0.6066968914956874
8.829992842196308,11,flow,0.5144986316309187,-0.15399892875126828,-0.5458965475675915,-0.9975331832008432,7.08796815388237,0.38146868966681935,7.580066603789656,-0.48907086463203386,6.934577201718413,-0.6066968914956874
8.83999284219631,11,flow,0.5083610409843435,-0.16414054934042768,-0.6815608546104365,-1.0309781130370559,7.097981694244211,0.3798622662958696,7.584727893620875,-0.4936811713146323,6.934577201718413,-0.6066968914956874
8.84999284219631,11,flow,0.5008688844706867,-0.17462234117348477,-0.8167841565344836,-1.0655780930808743,7.108313436235537,0.37809533065871737,7.588501311629972,-0.499070334608784,6.934577201718413,-0.6066968914956874
8.85999284219631,11,flow,0.49202734089743666,-0.18545617433313638,-0.9514124839773638,-1.1013969916714494,7.118972106380371,0.37615534517812077,7.591385815653572,-0.5052215817326847,6.934577201718413,-0.6066968914956874
8.869992842196309,11,flow,0.48184313705416953,-0.19665455503706847,-1.0852900383691213,-1.1384980568110505,7.129966668080536,0.3740288379693474,7.5933799115381015,-0.512113456353714,6.934577201718413,-0.6066968914956874
8.879992842196309,11,flow,0.4703245709998475,-0.20823061615643684,-1.2182582078557953,-1.1769432647008735,7.141306264053833,0.37170133764514557,7.594481902783598,-0.5197199098365767,6.934577201718413,-0.6066968914956874
8.889992842196309,11,flow,0.45748154474352426,-0.2201981013456386,-1.3501546725956408,-1.2167926935845041,7.153000147113818,0.3691573071040808,7.5946901804467615,-0.528010411025781,6.934577201718413,-0.6066968914956874
8.899992842196308,11,flow,0.44332560542407917,-0.2325713430414205,-1.4808125999275206,-1.2581039240300418,7.165057599133091,0.3663800768925136,7.594003550322771,-0.5369500792287021,6.934577201718413,-0.6066968914956874
8.909992842196308,11,flow,0.42786999407822773,-0.24536523460494947,-1.6100599322120712,-1.300931467650113,7.17748783804368,0.3633517788090832,7.592421593851914,-0.5464998455181324,6.934577201718413,-0.6066968914956874
8.919992842196308,11,flow,0.4111297010461655,-0.25859519690509025,-1.7377187725232321,-1.3453262271910194,7.190299912754361,0.3600532805034825,7.589945058513945,-0.5566166478081216,6.934577201718413,-0.6066968914956874
8.92999284219631,11,flow,0.3931215270008045,-0.2722771396751966,-1.8636048756646737,-1.3913349918710152,7.203502585906847,0.35646412190710963,7.586576272681677,-0.5672536653530141,6.934577201718413,-0.6066968914956874
8.93999284219631,11,flow,0.37386414850129956,-0.28642741801913985,-1.987527254033795,-1.4389999727603573,7.217104204451582,0.35256245442001,7.582319579013188,-0.5783605983527883,6.934577201718413,-0.6066968914956874
8.949992842196309,11,flow,0.3533781868678074,-0.3010627844944164,-2.109287909471431,-1.4883583838123653,7.231112558099581,0.3483249838641881,7.577181779483566,-0.5898839981918796,6.934577201718413,-0.6066968914956874
8.959992842196309,11,flow,0.33168627905752013,-0.31620033725969815,-2.228681703218472,-1.5394420748073652,7.2455347257987155,0.34372691829542257,7.571172584114887,-0.6017676534664976,6.934577201718413,-0.6066968914956874
8.969992842196309,11,flow,0.3088131490993103,-0.3318574648391044,-2.3454963762386636,-1.5922772228848248,7.260376910489706,0.33874192184155905,7.564305054388258,-0.6139530363409543,6.934577201718413,-0.6066968914956874
8.979992842196308,11,flow,0.2847856785253904,-0.3480517881230011,-2.459512731239954,-1.6468840894319818,7.275644262516295,0.33334207580231445,7.5565960312553395,-0.626379812893782,6.934577201718413,-0.6066968914956874
8.989992842196308,11,flow,0.259632974134956,-0.36480110029162344,-2.5705049855175655,-1.7032768487860053,7.291340692192214,0.3274978483016153,7.548066536659236,-0.6389864199525008,6.934577201718413,-0.6066968914956874
8.99999284219631,11,flow,0.23338643135069553,-0.38212330540884554,-2.6782413000499834,-1.7614634944093635,7.307468672160067,0.32117807382661334,7.538742136585874,-0.6517107094638946,6.934577201718413,-0.6066968914956874
9.005741815021587,11,pre_impact,0.2178151942046388,-0.39234811940407205,-2.7386126790236784,-1.795727888711343,7.3169363636410205,0.3173168915691763,7.533033321169315,-0.6590550175653577,6.934577201718413,-0.6066968914956874
9.005741815021587,12,post_impact,-0.39234811940407205,0.2178151942046388,-0.10800676500838123,-1.161444888767111,7.3169363636410205,0.3173168915691763,6.934577201718413,-0.6066968914956874,7.533033321169315,-0.6590550175653577
9.015741815021586,12,flow,-0.3928167562966313,0.2063902210352805,0.014280437748701115,-1.1237284194455388,7.3281052472460475,0.31972201757497487,6.945313100378274,-0.6041124764207629,7.533033321169315,-0.6590550175653577
9.025741815021586,12,flow,-0.3920628628363628,0.19533711982324373,0.13646181539900615,-1.087063872733611,7.3389360666069665,0.3219272736975167,6.95684050123759,-0.6021955422339245,7.533033321169315,-0.6590550175653577
9.035741815021586,12,flow,-0.3900886312455382,0.1846455634428873,0.2583095921002478,-1.0514135184747888,7.34943518772868,0.3239463686987284,6.9691647982569265,-0.6009289909530467,7.533033321169315,-0.6590550175653577
9.045741815021586,12,flow,-0.38689856371563314,0.17430558005741775,0.3795892727347798,-1.0167441605291472,7.359609039246496,0.32579218806582777,6.982290994539647,-0.6002915517431597,7.533033321169315,-0.6590550175653577
9.055741815021587,12,flow,-0.38249954794351526,0.16430750383879608,0.5000579721184782,-0.9830279240193968,7.369464120432334,0.32747684536166677,6.996223570363075,-0.6002577566576806,7.533033321169315,-0.6590550175653577
9.065741815021587,12,flow,-0.37690094939088664,0.15464191785432158,0.619462746185261,-0.9502430329585392,7.379007021057031,0.3290117306220919,7.010966306921794,-0.6007979449238362,7.533033321169315,-0.6590550175653577
9.075741815021587,12,flow,-0.3701147200812028,0.14529958927481496,0.7375389598971388,-0.9183745659974941,7.388244452590825,0.33040755551952705,7.026522066336858,-0.6018782993998403,7.533033321169315,-0.6590550175653577
9.085741815021587,12,flow,-0.36215552335157525,0.1362713971979984,0.8540087367145194,-0.8874151747541401,7.397183290104684,0.33167439506946406,7.042892529315893,-0.6034609196415669,7.533033321169315,-0.6590550175653577
9.095741815021587,12,flow,-0.3530408734735364,0.1275482535540271,0.9685795456773393,-0.8573657455366619,7.405830624082109,0.3328217257116185,7.06007789283633,-0.6055039367510919,7.533033321169315,-0.6590550175653577
