segment_length,run_index,rank,births
240,10,1,"0.09492031646684514"
240,11,1,"0.09217188147090644"
240,12,1,"0.09041686548464471"
240,13,1,"0.09265137091443242"
240,14,1,"0.09161625425446632"
240,15,1,"0.09578226456348138"
240,16,1,"0.09280635367735603"
240,17,1,"0.0923979122079411"
240,18,1,"0.0964787676655608"
240,19,1,"0.0899242270466645"
240,20,1,"0.09371128367585134"
260,1,1,"0.09655881518024595"
260,2,1,"0.09299355823078616"
260,3,1,"0.08966873674237932"
260,4,1,"0.09481077131195335"
260,5,1,"0.09095390915295054"
260,6,1,"0.09132343465025423"
260,7,1,"0.09269725885593141"
260,8,1,"0.09611428142207297"
260,9,1,"0.09174876126183477"
260,10,1,"0.09312631870671084"
260,11,1,"0.09608439716008971"
260,12,1,"0.0897571815135764"
260,13,1,"0.09669935967071032"
260,14,1,"0.09231604746386451"
260,15,1,"0.08804802782963844"
260,16,1,"0.09673442420420177"
260,17,1,"0.09340904257519639"
260,18,1,"0.09688036816449583"
260,19,1,"0.091794373568889"
260,20,1,"0.08833304264360664"
280,1,1,"0.0893909722786766"
280,2,1,"0.09454558744728861"
280,3,1,"0.09221604564098136"
280,4,1,"0.08979054173930556"
280,5,1,"0.09378440894953397"
280,6,1,"0.09533929751977448"
280,7,1,"0.09158064795389939"
280,8,1,"0.09302461456176583"
280,9,1,"0.0927745534354262"
280,10,1,"0.09382114139847991"
280,11,1,"0.092795953127538"
280,12,1,"0.09684863533330659"
280,13,1,"0.09128823001383646"
280,14,1,"0.09336817482661619"
280,15,1,"0.09002004475689335"
280,16,1,"0.08934409470495648"
280,17,1,"0.08919977313511424"
280,18,1,"0.08913287575628634"
280,19,1,"0.09275301048113795"
280,20,1,"0.08430497443955358"
300,1,1,"0.09251023060235479"
300,2,1,"0.09128823001383646"
300,3,1,"0.0921446913753355"
300,4,1,"0.09604271084280079"
300,5,1,"0.09158064795389939"
300,6,1,"0.09198278424153107"
300,7,1,"0.08928204846878568"
300,8,1,"0.09006786329865427"
300,9,1,"0.09360161166266383"
300,10,1,"0.08937029665909635"
300,11,1,"0.09310509961793798"
300,12,1,"0.0926886060193355"
300,13,1,"0.0914293939798736"
300,14,1,"0.0897571815135764"
300,15,1,"0.08488954009832254"
300,16,1,"0.09253179910079382"
300,17,1,"0.0927745534354262"
300,18,1,"0.08993462275759413"
300,19,1,"0.09056327044707607"
300,20,1,"0.09031442600310247"
