index,relaxed_time,physical_time,piece,step,impact,s,event
5746,79.26149887145684,34.261498871456844,arc,45,46,0.0,flow
5747,79.27149887145684,34.27149887145684,arc,45,46,0.0,flow
5748,79.28149887145685,34.28149887145685,arc,45,46,0.0,flow
5749,79.29149887145684,34.291498871456845,arc,45,46,0.0,flow
5750,79.30149887145684,34.30149887145684,arc,45,46,0.0,flow
5751,79.31149887145685,34.31149887145685,arc,45,46,0.0,flow
5752,79.32149887145684,34.321498871456846,arc,45,46,0.0,flow
5753,79.33149887145684,34.331498871456844,arc,45,46,0.0,flow
5754,79.34149887145685,34.34149887145684,arc,45,46,0.0,flow
5755,79.35149887145684,34.35149887145685,arc,45,46,0.0,flow
5756,79.36149887145685,34.361498871456845,arc,45,46,0.0,flow
5757,79.37149887145685,34.37149887145684,arc,45,46,0.0,flow
5758,79.38149887145684,34.38149887145685,arc,45,46,0.0,flow
5759,79.39149887145685,34.39149887145685,arc,45,46,0.0,flow
5760,79.40149887145685,34.401498871456845,arc,45,46,0.0,flow
5761,79.41149887145684,34.41149887145684,arc,45,46,0.0,flow
5762,79.42149887145685,34.42149887145685,arc,45,46,0.0,flow
5763,79.43149887145685,34.431498871456846,arc,45,46,0.0,flow
5764,79.44149887145684,34.441498871456844,arc,45,46,0.0,flow
5765,79.45149887145685,34.45149887145685,arc,45,46,0.0,flow
5766,79.46149887145685,34.46149887145685,arc,45,46,0.0,flow
5767,79.47149887145684,34.471498871456845,arc,45,46,0.0,flow
5768,79.48149887145684,34.48149887145684,arc,45,46,0.0,flow
5769,79.49149887145686,34.49149887145685,arc,45,46,0.0,flow
5770,79.50149887145685,34.501498871456846,arc,45,46,0.0,flow
5771,79.51149887145684,34.511498871456844,arc,45,46,0.0,flow
5772,79.52149887145684,34.52149887145684,arc,45,46,0.0,flow
5773,79.53149887145685,34.53149887145685,arc,45,46,0.0,flow
5774,79.54149887145684,34.541498871456845,arc,45,46,0.0,flow
5775,79.55149887145684,34.55149887145684,arc,45,46,0.0,flow
5776,79.56149887145685,34.56149887145685,arc,45,46,0.0,flow
5777,79.57149887145684,34.571498871456846,arc,45,46,0.0,flow
5778,79.58149887145684,34.581498871456844,arc,45,46,0.0,flow
